,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,property_type_Bed & Breakfast,cancellation_policy_strict
0,True,True,True,4.0,4.0,False,3,1.0,1.0,2.0,1,4,1125,60.0,False,118,3.76,93.0,10.0,9.0,10.0,10.0,10.0,9.0,3733.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,2,40,17.0,False,6,1.42,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3704.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2,False,True,True,1.0,1.0,True,4,1.0,1.0,2.0,2,62,1125,90.0,True,143,1.25,92.0,9.0,9.0,9.0,9.0,10.0,9.0,3671.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
3,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,5,360,26.0,False,25,0.39,88.0,9.0,9.0,9.0,10.0,9.0,9.0,3652.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
4,True,True,True,1.0,1.0,True,2,1.0,1.0,2.0,1,2,10,42.0,False,197,1.75,96.0,10.0,10.0,10.0,10.0,10.0,9.0,3462.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
5,False,True,True,1.0,1.0,False,7,2.5,4.0,7.0,5,6,14,180.0,False,6,0.15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3361.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
6,False,True,False,3.0,3.0,True,2,1.0,0.0,1.0,1,90,1125,70.0,False,23,0.23,93.0,10.0,10.0,9.0,10.0,9.0,9.0,3276.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
7,False,True,True,1.0,1.0,True,2,1.0,1.0,2.0,1,30,52,120.0,False,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,3261.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
8,False,True,False,4.0,4.0,True,5,1.0,1.0,3.0,2,60,365,90.0,False,48,0.47,94.0,10.0,10.0,10.0,10.0,9.0,9.0,3244.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
9,True,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,3,30,45.0,False,279,2.83,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3229.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
