,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,cancellation_policy_strict_14_with_grace_period
0,False,True,False,1.0,1.0,True,4,1.5,2.0,3.0,1,2,1125,250.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,511,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
1,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,0,2,15,65.0,True,36,1.3,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1553,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,True,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,3,45,65.0,False,41,0.47,98.0,10.0,9.0,10.0,10.0,9.0,10.0,2676,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
3,False,True,False,1.0,1.0,False,4,1.0,1.0,2.0,2,1,1125,75.0,False,1,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1235,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
4,True,True,True,1.0,1.0,True,2,1.5,1.0,2.0,1,2,31,79.0,False,29,2.25,99.0,10.0,10.0,10.0,10.0,9.0,10.0,850,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
5,True,True,True,2.0,2.0,True,2,1.0,1.0,1.0,1,2,1125,75.0,False,8,1.7,100.0,10.0,10.0,10.0,10.0,9.0,10.0,168,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6,False,True,True,5.0,5.0,False,3,1.0,1.0,2.0,1,1,1125,100.0,False,57,4.0,90.0,10.0,10.0,10.0,10.0,9.0,9.0,1201,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
7,True,True,True,2.0,2.0,True,2,2.0,1.0,1.0,1,1,1125,75.0,False,67,2.38,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1494,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
8,True,True,True,1.0,1.0,True,2,1.0,1.0,2.0,2,2,1125,58.0,False,65,5.36,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1414,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
9,True,True,True,2.0,2.0,True,5,1.0,2.0,2.0,4,4,10,229.0,False,33,1.01,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1359,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
